stock_code,report_year,report_quarter,bas_eps
601236,2011,1004,0.10
601236,2012,1004,0.07
601236,2012,1002,NULL
601236,2012,1003,NULL
601236,2013,1003,NULL
601236,2013,1001,NULL
601236,2013,1002,NULL
601236,2013,1004,0.14
601236,2014,1002,NULL
601236,2014,1001,NULL
601236,2014,1004,0.23
601236,2015,1004,0.42
601236,2016,1004,0.10
601236,2017,1004,0.11
601236,2018,1003,0.07
601236,2018,1004,0.12
601236,2019,1002,0.09
601236,2019,1003,0.16
601236,2019,1004,0.24
601236,2020,1001,0.13
601288,2010,1002,0.17
601288,2010,1001,NULL
601288,2010,1003,0.25
601288,2010,1004,0.33
601288,2011,1002,0.21
601288,2011,1003,0.31
601288,2011,1001,0.10
601288,2011,1004,0.38
601288,2012,1001,0.13
601288,2012,1002,0.25
601288,2012,1004,0.45
601288,2012,1003,0.37
601288,2013,1002,0.28
601288,2013,1001,0.14
601288,2013,1003,0.42
601288,2013,1004,0.51
601288,2014,1002,0.32
601288,2014,1004,0.55
601288,2014,1003,0.47
601288,2014,1001,0.16
601288,2015,1002,0.32
601288,2015,1004,0.55
601288,2015,1001,0.17
601288,2015,1003,0.47
601288,2016,1004,0.55
601288,2016,1001,0.16
601288,2016,1003,0.47
601288,2016,1002,0.32
601288,2017,1002,0.33
601288,2017,1001,0.16
601288,2017,1003,0.49
601288,2017,1004,0.58
601288,2018,1001,0.17
601288,2018,1002,0.35
601288,2018,1003,0.51
601288,2018,1004,0.59
601288,2019,1001,0.17
601288,2019,1002,0.34
601288,2019,1003,0.51
601288,2019,1004,0.59
601288,2020,1001,0.18
601319,2010,1004,NULL
601319,2011,1004,NULL
601319,2012,1004,0.20
601319,2013,1004,0.19
601319,2014,1004,0.31
601319,2015,1004,0.45
601319,2016,1002,0.18
601319,2016,1004,0.34
601319,2017,1004,0.39
601319,2017,1002,0.22
601319,2018,1002,0.23
601319,2018,1001,0.12
601319,2018,1003,0.29
601319,2018,1004,0.32
601319,2019,1001,0.13
601319,2019,1002,0.35
601319,2019,1003,0.48
601319,2019,1004,0.51
601319,2020,1001,0.16
601328,2010,1001,0.21
601328,2010,1002,0.40
601328,2010,1003,0.56
601328,2010,1004,0.73
601328,2011,1004,0.82
601328,2011,1003,0.62
601328,2011,1002,0.43
601328,2011,1001,0.24
601328,2012,1003,0.70
601328,2012,1001,0.26
601328,2012,1002,0.50
601328,2012,1004,0.88
601328,2013,1003,0.66
601328,2013,1002,0.47
601328,2013,1001,0.24
601328,2013,1004,0.84
601328,2014,1002,0.50
601328,2014,1001,0.25
601328,2014,1004,0.89
601328,2014,1003,0.69
601328,2015,1004,0.90
601328,2015,1002,0.50
601328,2015,1003,0.70
601328,2015,1001,0.26
601328,2016,1002,0.50
601328,2016,1003,0.70
601328,2016,1004,0.89
601328,2016,1001,0.26
601328,2017,1001,0.26
601328,2017,1002,0.49
601328,2017,1003,0.70
601328,2017,1004,0.91
601328,2018,1001,0.27
601328,2018,1002,0.51
601328,2018,1003,0.74
601328,2018,1004,0.96
601328,2019,1001,0.28
601328,2019,1002,0.54
601328,2019,1003,0.77
601328,2019,1004,1.00
601328,2020,1001,0.25
601336,2010,1004,1.87
601336,2011,1004,1.24
601336,2011,1002,0.93
601336,2012,1002,0.61
601336,2012,1001,0.25
601336,2012,1004,0.94
601336,2012,1003,0.74
601336,2013,1001,0.47
601336,2013,1002,0.70
601336,2013,1003,1.27
601336,2013,1004,1.42
601336,2014,1004,2.05
601336,2014,1002,1.20
601336,2014,1003,2.03
601336,2014,1001,0.50
601336,2015,1004,2.76
601336,2015,1001,1.16
601336,2015,1002,2.16
601336,2015,1003,2.77
601336,2016,1003,1.53
601336,2016,1001,0.64
601336,2016,1004,1.58
601336,2016,1002,1.07
601336,2017,1001,0.59
601336,2017,1002,1.04
601336,2017,1003,1.62
601336,2017,1004,1.73
601336,2018,1001,0.84
601336,2018,1002,1.86
601336,2018,1003,2.47
601336,2018,1004,2.54
601336,2019,1001,1.08
601336,2019,1002,3.38
601336,2019,1003,4.17
601336,2019,1004,4.67
601336,2020,1001,1.49
