stock_code,con_date,con_eps_roll
600690,2013-05-31,1.4813
600690,2013-06-03,1.4875
600690,2013-06-04,1.4881
600690,2013-06-05,1.4886
600690,2013-06-06,1.4891
600690,2013-06-07,1.4898
600690,2013-06-13,1.4925
600690,2013-06-14,1.493
600690,2013-06-17,1.5141
600690,2013-06-18,1.5119
600690,2013-06-19,1.5125
600690,2013-06-20,1.513
600690,2013-06-21,1.5152
600690,2013-06-24,1.5176
600690,2013-06-25,1.5181
600690,2013-06-26,1.5187
600690,2013-06-27,1.5056
600690,2013-06-28,1.5061
600690,2013-07-01,1.5091
600690,2013-07-02,1.5097
600690,2013-07-03,1.5102
600690,2013-07-04,1.5108
600690,2013-07-05,1.5114
600690,2013-07-08,1.5137
600690,2013-07-09,1.5142
600690,2013-07-10,1.5147
600690,2013-07-11,1.5153
600690,2013-07-12,1.5158
600690,2013-07-15,1.5158
600690,2013-07-16,1.5163
600690,2013-07-17,1.5103
600690,2013-07-18,1.5088
600690,2013-07-19,1.51
600690,2013-07-22,1.5128
600690,2013-07-23,1.5149
600690,2013-07-24,1.5155
600690,2013-07-25,1.516
600690,2013-07-26,1.5186
600690,2013-07-29,1.5204
600690,2013-07-30,1.5187
600690,2013-07-31,1.5193
600690,2013-08-01,1.5234
600690,2013-08-02,1.5274
600690,2013-08-05,1.5331
600690,2013-08-06,1.5336
600690,2013-08-07,1.5342
600690,2013-08-08,1.5345
600690,2013-08-09,1.535
600690,2013-08-12,1.5367
600690,2013-08-13,1.5368
600690,2013-08-14,1.5374
600690,2013-08-15,1.5408
600690,2013-08-16,1.5414
600690,2013-08-19,1.543
600690,2013-08-20,1.5436
600690,2013-08-21,1.5442
600690,2013-08-22,1.5447
600690,2013-08-23,1.5305
600690,2013-08-26,1.5316
600690,2013-08-27,1.5352
600690,2013-08-28,1.5388
600690,2013-08-29,1.5397
600690,2013-08-30,1.5402
600690,2013-09-02,1.5424
600690,2013-09-03,1.5429
600690,2013-09-04,1.5435
600690,2013-09-05,1.544
600690,2013-09-06,1.5446
600690,2013-09-09,1.5465
600690,2013-09-10,1.5471
600690,2013-09-11,1.5476
600690,2013-09-12,1.5482
600690,2013-09-13,1.5483
600690,2013-09-16,1.55
600690,2013-09-17,1.5511
600690,2013-09-18,1.5517
600690,2013-09-23,1.5545
600690,2013-09-24,1.555
600690,2013-09-25,1.5556
600690,2013-09-26,1.5561
600690,2013-09-27,1.5564
600690,2013-09-30,1.5589
600690,2013-10-08,1.5728
600690,2013-10-09,1.5734
600690,2013-10-10,1.574
600690,2013-10-11,1.5746
600690,2013-10-14,1.5763
600690,2013-10-15,1.5769
600690,2013-10-16,1.5775
600690,2013-10-17,1.5781
600690,2013-10-18,1.5738
600690,2013-10-21,1.5882
600690,2013-10-22,1.5834
600690,2013-10-23,1.584
600690,2013-10-24,1.5885
600690,2013-10-25,1.5891
600690,2013-10-28,1.591
600690,2013-10-29,1.5916
600690,2013-10-30,1.61
600690,2013-10-31,1.6767
600690,2013-11-01,1.6883
600690,2013-11-04,1.6901
600690,2013-11-05,1.6907
600690,2013-11-06,1.6913
600690,2013-11-07,1.6941
600690,2013-11-08,1.6851
600690,2013-11-11,1.6805
600690,2013-11-12,1.6733
600690,2013-11-13,1.6739
600690,2013-11-14,1.6744
600690,2013-11-15,1.6749
600690,2013-11-18,1.6814
600690,2013-11-19,1.6877
600690,2013-11-20,1.6905
600690,2013-11-21,1.6961
600690,2013-11-22,1.6967
600690,2013-11-25,1.6985
600690,2013-11-26,1.6991
600690,2013-11-27,1.702
600690,2013-11-28,1.7026
600690,2013-11-29,1.7039
600690,2013-12-02,1.7002
600690,2013-12-03,1.7008
600690,2013-12-04,1.7014
600690,2013-12-05,1.7019
600690,2013-12-06,1.7025
600690,2013-12-09,1.7316
600690,2013-12-10,1.7573
600690,2013-12-11,1.7629
600690,2013-12-12,1.7636
600690,2013-12-13,1.7482
600690,2013-12-16,1.7502
600690,2013-12-17,1.7552
600690,2013-12-18,1.7552
600690,2013-12-19,1.7559
600690,2013-12-20,1.7483
600690,2013-12-23,1.7406
600690,2013-12-24,1.7412
600690,2013-12-25,1.7419
600690,2013-12-26,1.7426
600690,2013-12-27,1.7418
600690,2013-12-30,1.7507
